City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Florø,NO,1635004033,75,66,61.5996,5.0328,46.36,17.27
Belmonte,BR,1635004035,100,89,-15.8631,-38.8828,79.3,10.56
Dikson,RU,1635003756,100,87,73.5069,80.5464,10.49,12.75
Tateyama,JP,1635004038,68,58,34.9833,139.8667,57.22,12.12
Lagoa,PT,1635004039,7,73,39.05,-27.9833,67.28,13.87
Leningradskiy,RU,1635003989,100,88,69.3833,178.4167,8.69,8.88
Cherskiy,RU,1635004041,100,100,68.75,161.3,-7.17,1.99
Finschhafen,PG,1635004043,66,78,-6.6024,147.8681,78.17,8.95
Aklavik,CA,1635004044,90,86,68.2191,-135.0107,28.4,5.75
Vanderhoof,CA,1635003914,59,88,54.0166,-124.0198,37.24,6.44
Krasnoturansk,RU,1635004047,99,65,54.3186,91.5639,39.99,9.15
Pushkinskiye Gory,RU,1635004048,100,96,57.0209,28.9103,37.22,11.72
Janaúba,BR,1635004050,88,41,-15.8025,-43.3089,89.76,3.24
Safi,MA,1635004051,0,53,32.2994,-9.2372,71.78,21.39
Esperance,AU,1635004053,0,71,-33.8667,121.9,51.64,17.6
Isla Mujeres,MX,1635004054,99,79,21.2311,-86.731,86.16,9.84
Parry Sound,CA,1635004055,100,87,45.3501,-80.033,47.21,2.93
Rawson,AR,1635004057,3,28,-43.3002,-65.1023,57.81,15.37
Honningsvåg,NO,1635004058,99,69,70.9821,25.9704,36.95,17.25
Kaitangata,NZ,1635004012,100,91,-46.2817,169.8464,49.68,3.49
Margate,GB,1635004061,78,66,51.3813,1.3862,55.96,11.79
Ahipara,NZ,1635004062,99,97,-35.1667,173.1667,60.6,1.72
Scalea,IT,1635004064,99,65,39.813,15.7956,72.34,4.03
Lima,PE,1635003852,90,82,-12.0432,-77.0282,61.14,6.91
Saint George,US,1635004004,1,41,37.1041,-113.5841,66.67,0.0
Lebu,CL,1635003961,98,64,-37.6167,-73.65,53.89,5.75
Kuching,MY,1635004069,40,100,1.55,110.3333,75.42,0.0
Tilichiki,RU,1635004070,94,88,60.4667,166.1,5.11,8.16
Muhos,FI,1635004072,100,96,64.808,25.9931,31.78,3.51
Port Shepstone,ZA,1635004073,6,72,-30.7414,30.455,69.49,33.13
San Ramon,US,1635004074,75,91,37.7799,-121.978,56.52,1.01
Ruzhyn,UA,1635004076,8,48,49.7228,29.2046,49.03,8.55
Severo-Kuril'sk,RU,1635004077,38,75,50.6789,156.125,37.38,7.92
Fairbanks,US,1635004041,1,89,64.8378,-147.7164,27.61,0.0
Juegang,CN,1635004080,100,59,32.3174,121.1855,63.91,5.17
Nadym,RU,1635003985,100,98,65.5333,72.5167,32.86,10.49
Moosburg,DE,1635004082,20,65,48.4667,11.9333,52.47,4.61
Cockburn Town,TC,1635004084,39,69,21.4612,-71.1419,83.26,19.89
Gizo Government Station,SB,1635004086,11,78,-8.103,156.8419,81.9,8.84
Xam Nua,LA,1635004087,72,99,20.4197,104.0439,57.24,2.01
Norrtälje,SE,1635004089,55,78,59.758,18.705,38.28,6.33
Guadalupe y Calvo,MX,1635004090,0,42,26.1,-106.9667,61.32,3.83
Den Helder,NL,1635004092,90,84,52.9599,4.7593,54.99,10.0
Luanda,AO,1635004074,20,69,-8.8368,13.2343,82.4,13.8
Port Hedland,AU,1635004085,57,50,-20.3167,118.5667,77.05,6.91
Salinópolis,BR,1635004095,100,66,-0.6136,-47.3561,85.87,9.71
Basco,PH,1635004097,67,81,20.4487,121.9702,79.77,23.87
Pangnirtung,CA,1635004098,90,86,66.1451,-65.7125,30.2,6.91
Jalu,LY,1635004100,2,26,29.0331,21.5482,80.56,7.67
Grindavik,IS,1635004101,90,100,63.8424,-22.4338,48.15,13.8
Husavik,IS,1635004102,100,98,66.0449,-17.3389,37.31,2.1
Lubango,AO,1635004104,40,12,-14.9172,13.4925,84.06,6.91
Saint-Pierre,RE,1635004105,90,81,-21.3393,55.4781,76.68,3.44
Henties Bay,NA,1635004107,0,70,-22.116,14.2845,65.86,16.69
Indian Head,US,1635004109,40,69,38.6001,-77.1622,64.89,0.0
Cayenne,GF,1635004110,75,74,4.9333,-52.3333,87.1,5.01
Rosarito,MX,1635003976,100,78,32.3333,-117.0333,61.75,7.16
Nelson Bay,AU,1635004112,50,97,-32.7167,152.15,67.95,12.97
Hongjiang,CN,1635004114,55,84,27.11,109.9956,54.21,1.81
Myanaung,MM,1635004115,90,93,18.2833,95.3167,75.99,3.98
Gunnedah,AU,1635004117,2,62,-30.9833,150.25,62.22,7.36
Sept-Îles,CA,1635004119,90,98,50.2001,-66.3821,48.72,7.0
Villa del Rosario,CO,1635004120,40,70,7.8339,-72.4742,82.78,9.22
Verkhnevilyuysk,RU,1635004121,100,96,63.4453,120.3167,36.61,10.22
Manicoré,BR,1635004123,49,36,-5.8092,-61.3003,97.48,4.83
Lillehammer,NO,1635004124,93,76,61.1146,10.4674,38.32,1.81
Guinguinéo,SN,1635004126,0,26,14.2667,-15.95,100.45,6.91
Haines Junction,CA,1635004127,100,93,60.7522,-137.5108,22.95,1.14
Cetraro,IT,1635004128,95,67,39.5166,15.9416,71.24,5.14
Norsup,VU,1635004130,64,86,-16.0667,167.3833,78.24,7.72
Norman Wells,CA,1635004131,40,86,65.282,-126.8329,33.84,6.91
La Joya,MX,1635004133,100,90,18.6667,-99.4667,76.51,1.1
Mongo,TD,1635004134,19,29,12.1844,18.693,92.53,4.63
Jiazi,CN,1635004135,90,76,22.8779,116.067,67.1,9.44
Heraclea,TR,1635004137,0,21,37.5133,34.0467,56.89,1.66
Christchurch,NZ,1635003906,75,85,-43.5333,172.6333,54.0,1.01
Karema,TZ,1635004140,34,65,-6.8205,30.4389,80.13,7.38
Kavaratti,IN,1635004141,85,76,10.5669,72.642,82.13,3.69
Perbaungan,ID,1635004143,92,91,3.5679,98.956,77.11,1.95
Lakes Entrance,AU,1635004144,74,70,-37.8811,147.981,51.57,17.16
Ratnagiri,IN,1635004146,6,78,16.9833,73.3,79.07,7.7
Te Anau,NZ,1635004147,100,94,-45.4167,167.7167,50.11,0.45
La Palma,US,1635004149,75,95,33.8464,-118.0467,64.35,3.0
Talnakh,RU,1635004051,100,96,69.4865,88.3972,21.7,6.69
Vardø,NO,1635004151,100,69,70.3705,31.1107,30.4,11.61
Itatuba,BR,1635004153,58,37,-7.375,-35.6283,94.01,14.79
Bathsheba,BB,1635004154,40,62,13.2167,-59.5167,88.41,23.02
Kanadukathan,IN,1635004156,34,82,10.1754,78.7785,78.6,8.23
Sechura,PE,1635004157,100,65,-5.5569,-80.8222,72.99,8.39
Pupiales,CO,1635004158,94,74,0.8714,-77.6403,57.09,2.73
Vasai,IN,1635004160,4,74,19.47,72.8,82.49,6.26
Sambava,MG,1635004161,33,89,-14.2667,50.1667,76.28,3.2
Sovetskiy,RU,1635004163,87,77,61.3614,63.5842,39.36,13.18
San Cristobal,VE,1635004007,78,58,7.7669,-72.225,77.18,6.24
Bonthe,SL,1635004165,62,71,7.5264,-12.505,83.62,10.29
Kiryat Gat,IL,1635004167,0,100,31.61,34.7642,74.08,9.75
Aksarka,RU,1635003918,98,95,66.5606,67.7975,30.63,9.93
Morondava,MG,1635004170,0,68,-20.2833,44.2833,74.79,10.54
Tawang Town,IN,1635004171,99,90,27.5833,91.8667,47.79,1.95
Los Llanos de Aridane,ES,1635004172,75,77,28.6585,-17.9182,69.55,1.99
Praia da Vitória,PT,1635004174,40,83,38.7333,-27.0667,73.76,11.68
Olinda,BR,1635004175,20,66,-8.0089,-34.8553,85.73,11.5
Crystal Beach,CA,1635004177,100,74,42.8699,-79.0583,50.07,6.91
Sydney Mines,CA,1635004178,75,82,46.2367,-60.2177,69.26,4.0
Kashgar,CN,1635004179,2,17,39.4547,75.9797,49.21,2.24
Daru,PG,1635004181,87,80,-9.0763,143.2092,79.07,12.33
Pontal do Paraná,BR,1635004182,30,65,-25.6533,-48.5128,90.21,8.3
Saint Anthony,US,1635003914,1,74,45.0205,-93.218,45.3,1.99
Champawat,IN,1635004185,5,94,29.3333,80.1,53.98,1.63
Lovozero,RU,1635004186,100,89,68.005,35.0117,26.2,10.85
Egvekinot,RU,1635004188,100,82,66.3167,-179.1667,8.92,7.49
Maragogi,BR,1635004189,86,67,-9.0122,-35.2225,84.09,13.22
Atar,MR,1635004191,0,14,20.5169,-13.0499,98.65,6.91
Vizinga,RU,1635004192,100,93,61.0749,50.1031,39.65,8.57
Rafaela,AR,1635004194,100,59,-31.2503,-61.4867,71.06,11.01
Khani,GE,1635004195,0,81,41.9563,42.9566,47.77,3.56
Okakarara,NA,1635004196,0,9,-20.5833,17.4333,87.26,16.08
Mozarlândia,BR,1635004198,83,31,-14.7447,-50.5706,97.3,8.88
São João da Barra,BR,1635004200,33,79,-21.6403,-41.0511,80.69,14.0
Chissamba,AO,1635004201,77,62,-12.1667,17.3333,75.4,1.57
Brandon,US,1635004203,1,81,27.9378,-82.2859,85.95,1.99
Longyearbyen,SJ,1635004205,20,86,78.2186,15.6401,17.44,2.3
Yerbogachën,RU,1635004206,100,76,61.2767,108.0108,33.8,11.1
Oktyabr'skoye,RU,1635004208,20,81,43.0645,44.7417,44.74,6.71
Kondinskoye,RU,1635004210,86,81,59.6481,67.41,43.21,16.44
Ubari,LY,1635004212,84,15,26.5921,12.7805,91.15,7.96
Teacapan,MX,1635004213,100,81,22.55,-105.75,80.04,3.65
Hambantota,LK,1635004215,20,89,6.1241,81.1185,80.94,3.44
Kanbe,MM,1635004216,69,88,16.7053,96.0017,80.65,1.54
Kenai,US,1635004217,75,93,60.5544,-151.2583,41.14,8.05
Batagay-Alyta,RU,1635004219,99,97,67.8006,130.4114,-1.19,2.04
Dzerzhinsk,RU,1635004220,75,61,56.2389,43.4631,46.22,8.95
Tashtagol,RU,1635004222,98,77,52.7657,87.8894,36.21,3.15
Khorramabad,IR,1635004223,0,25,33.4878,48.3558,61.79,3.78
Kanchanaburi,TH,1635004225,98,92,14.6333,99.1,74.37,3.76
Boca do Acre,BR,1635004226,81,36,-8.7522,-67.3978,98.82,4.85
Acaraú,BR,1635004228,75,54,-2.8856,-40.12,89.6,16.98
Olenino,RU,1635004229,61,93,56.2092,33.4889,38.79,10.74
Havelock,US,1635004231,90,81,34.8791,-76.9013,72.95,1.01
Constantine,DZ,1635004232,6,60,36.365,6.6147,68.27,11.72
Bosaso,SO,1635004233,5,56,11.2842,49.1816,81.03,4.23
Al Bardīyah,LY,1635004235,0,56,31.7561,25.0865,71.74,6.6
Hofn,IS,1635004236,100,96,64.2539,-15.2082,44.96,3.76
Verkhoyansk,RU,1635004238,99,100,67.5447,133.385,-0.67,2.33
Manado,ID,1635004239,40,94,1.487,124.8455,75.97,1.14
Constitución,CL,1635004241,7,54,-35.3333,-72.4167,58.32,16.28
Belaya Kholunitsa,RU,1635004242,67,80,58.84,50.8528,41.85,9.98
Kieta,PG,1635004244,5,82,-6.2167,155.6333,78.58,3.74
Hennebont,FR,1635004245,20,66,47.8051,-3.2734,59.04,3.0
Poli,TZ,1635004246,77,51,-3.3333,36.8,80.87,4.9
Mount Gambier,AU,1635004248,90,93,-37.8333,140.7667,48.11,5.75
